,l,score,mnb
10,11,0.9710144927536232,MultinomialNB()
16,17,0.9710144927536232,MultinomialNB()
2,3,0.9710144927536232,MultinomialNB()
3,4,0.9710144927536232,MultinomialNB()
4,5,0.9710144927536232,MultinomialNB()
5,6,0.9710144927536232,MultinomialNB()
6,7,0.9710144927536232,MultinomialNB()
7,8,0.9710144927536232,MultinomialNB()
8,9,0.9710144927536232,MultinomialNB()
9,10,0.9710144927536232,MultinomialNB()
11,12,0.9710144927536232,MultinomialNB()
12,13,0.9710144927536232,MultinomialNB()
13,14,0.9710144927536232,MultinomialNB()
18,19,0.9565217391304348,MultinomialNB()
17,18,0.9565217391304348,MultinomialNB()
19,20,0.9565217391304348,MultinomialNB()
15,16,0.9565217391304348,MultinomialNB()
14,15,0.9565217391304348,MultinomialNB()
1,2,0.9565217391304348,MultinomialNB()
0,1,0.927536231884058,MultinomialNB()
